Brand,Shoe Name,Traction,Cushioning,Lockdown,Lateral Stability,Torsion Support,Weight,Durability,Ventilation,Avg,Overall Rating,Guard,Wing,Big,Outdoor,Reviews,Year of Release,MSRP,Weight per shoe (US9),Heel-to-toe Offset,Recent Release,Asia Brand?,Budget Shoe? ($100),Sizing Recommendation,Sizing Notes
,,,,,,,,,,,,,,,,,,,,,,,,,
361°,[Ranzhan],87,77,69,76,78,84,85,87,78,75,73,77,74,84,20,2021-,$80,350 - 370g,,No,Asia,Yes,?,"Fits wide, lack of padding, toe jam"
361°,AG1,86,83,83,87,90,68,74,66,84,84,80,86,86,77,33,2020-21,$120,440 - 460g,9 - 10mm,No,Asia,No,,
361°,AG1 SE,88,81,76,85,85,74,75,85,82,81,78,82,84,79,15,2021-,$90,420 - 430g,9 - 10mm,No,Asia,Yes,,
361°,AG2,85,83,79,74,85,64,71,70,82,77,72,81,82,77,24,2021-,$120,450 - 470g,[10 - 11mm est.],No,,No,,
361°,AG3 Pro,86,83,77,87,92,69,73,64,82,81,77,84,85,73,16,2022-,$130,450 - 470g,8 - 9mm,Yes,Asia,No,Go down 1 EU size,Fits wide with toebox space; not for narrow or low-volume feet; no half EU sizes.
361°,Big 3 II,81,77,69,73,68,80,82,84,76,71,68,73,71,84,24,2020-,$100,390 - 400g,,No,Asia,No,,
361°,Big 3 III,89,83,83,85,88,68,84,74,85,84,80,86,86,86,24,2022-,$100,430 - 440g,[10 - 12mm est.],Yes,Asia,No,Stay true to size,Some forefoot deadspace
361°,Big 3 III Pro,84,89,83,84,91,74,73,69,85,85,81,88,88,74,31,2022-,$135,410 - 430g,10 - 12mm,Yes,Asia,No,Stay true to size,Fits slightly wide; use EU size for reference
361°,Dinwiddie DVD 1,81,84,75,84,86,77,84,73,80,79,75,81,84,86,24,2022-,$100,390 - 410g,6 - 8mm,Yes,Asia,No,Stay true to size,Use EU size; snug & not wide friendly due to upper; going up may result in heel-slip.
361°,Kyranbek Kontrol 1,80,80,80,72,81,71,86,57,80,76,71,80,79,86,14,2020-,$80,420 - 430g,,No,Asia,Yes,,
361°,Kyranbek Kontrol 2,83,81,77,75,85,77,82,58,80,79,75,82,81,83,13,2021-,$80,380 - 390g,[10 - 12mm est.],No,Asia,Yes,,
361°,Lava,83,84,78,73,82,70,83,69,82,78,73,81,81,86,13,2021-,$80,410 - 430g,,No,Asia,Yes,,
361°,Menace,82,73,81,87,85,70,86,66,79,77,75,80,77,83,22,2022-,$90,420 - 440g,[9 - 11mm est.],Yes,Asia,Yes,Stay true to size,Narrow
361°,Shadow Blade,81,72,69,66,84,82,78,77,74,68,64,73,66,76,9,2017-,$80,380 - 390g,,No,Asia,Yes,,
361°,Zen 3,88,83,81,72,78,82,86,81,84,82,81,84,81,87,34,2021-,$90,390 - 410g,13 - 15mm,No,Asia,Yes,Stay true to size,Narrow
361°,Zen.00,89,83,81,77,81,69,82,61,84,81,77,84,82,85,24,2020-,$120,430 - 450g,13 - 15mm,No,Asia,No,Stay true to size,Very snug forefoot fit
ADIDAS,Agent Gil Restomod,89,73,78,82,88,75,83,64,80,78,77,81,75,75,20,2022-,$140,420 - 440g,10 - 11mm,Yes,Non-Asia,No,Stay true to size?,Fits slightly long with some toebox space; narrow feet try sizing down half.
ADIDAS,BYW Select,89,82,85,91,92,66,69,64,85,84,81,86,87,69,13,2023-,$150,450 - 470g,[8 - 10mm est.],Yes,Non-Asia,No,Stay true to size,Okay for wide-footers but those with high insteps may experience some lace pressure.
ADIDAS,Court Vision 3,85,77,85,87,90,78,80,68,82,84,84,86,82,80,12,2021-,$100,410 - 440g,[9 - 11mm est.],No,Non-Asia,No,Stay true to size,Snug
